location_id,country,state,county,town,village,alternative,details
79,SP,Catalonia,,Barcelona,,,
80,SP,Catalonia,,Barcelona,Rodez,Viscounty of Rodez,
81,FR,Normandy,Manche,Cotentin,,,
82,SP,,,Lara de los Infantes,,,
83,FR,Occitanie,Pyrenees-Orientale,Prades,,,
84,FR,Burgundy,,Besancon,,,
85,SP,Galicia,,Compostela,,,
86,FR,Burgundy,Cote d'Or,Semur,,,
87,FR,Paris,Paris,Paris,,,
88,DE,Saxony,,Enger,,,
89,FR,Normandy,,Vermandois,,,
90,FR,Aisne,,Boahin,,Picaardie,
91,DE,,,Hornback,,Prussia,
92,FR,Languedoc,Haute Garrone,Toulouse,,,
93,DE,Languedoc,,Swabia,,,
94,FR,Aisne,,Laon,,,
95,BE,Wallonia,,Liege,Landen,Austrasia,
96,BE,Wallonia,,Liege,,Austrasia,
97,BE,Wallonia,,Liege,Metz,Austrasia,
98,FR,Neustria,,,,,
99,FR,Marne,,Reims,,,
100,BE,Wallonia,Hainaut,Tournai,,,
101,DE,Thuringia,,,,,
102,DE,North-Rhine Westphalia,,,,,
103,DE,North-Rhine Westphalia,,Westphalia,,,
104,DE,Saxony,,,,,
105,FR,,,,,Austrasia,
106,DE,North-Rhine Westphalia,,Cologne,,,
107,DE,Franconia,,,,,
108,DE,Saxony,,,,,
109,FR,Moselle,,,,Austrasia,
110,IT,Latium,Rome,Rome,,,
111,DE,North-Rhine Westphalia,,Cologne,Aachen,,
112,DE,Rhineland-Palatinate,Mainz-Bingen,Ingelhein,,,
113,FR,Rhone,Lyon,Treves,,,
114,BE,Wallonia,,Liege,Heristal,,
115,FR,Rhone,Arles,Arles,,,
116,FR,Loiret,Orleans,Orleans,,,
117,FR,Vienne,Poitiers,Poitiers,,,
118,FR,Vienne,Poitiers,Chasseneuil-du-Poitou,,Cassinogilum,
119,SP,Austurias,,Oviedo,,,
120,SP,,,,,,
121,FR,Normandy,,Rouen,,,
122,FR,Normandy,,Fecamp,,,
123,GB,,,,,Alemania,
124,,,,,,,Hall of Ramida
125,FR,Occitanie,Aude,Narbonne,,,
126,FR,Rhone,Savoie,Saint-Jean-de-Maurienne,,,
127,IT,Turin,,Carignano,,,
128,NE,South Holland,,Vlaardingen,,,
129,FR,Dordogne,,Champagne-et-Fontaine,,,
130,US,Nevada,Clark,Las Vegas,,,
131,US,Massachusetts,Plymouth,Plymouth,,,
132,US,South Carolina,Charleston,Charleston,,,
133,US,Massachusetts,,,,,
134,US,New Hampshire,Hillsborough,Nashua,,,
135,US,Massachusetts,Middlesex,Framingham,,,
136,IE,Cavan,,Beahy,,,
137,US,Rhode Island,Providence,Smithfield,,,
138,IE,Donegal,,Donegal Bay,,,
139,CA,Nova Scotia,,Cape Breton,,,
140,US,Massachusetts,Essex,Lynn,,,
141,US,Massachusetts,Essex,Essex,,,
142,US,Massachusetts,Essex,Salem,,,
143,GB,England,Suffolk,Edmonds,,,
144,GB,England,Gloucestershire,Gloucester,,,
145,GB,England,Berkshire,St. Mary's Reading,,,
146,BE,Flemish Brabant,,Leuven,,,
147,GB,England,Essex,Earls Colne,,,
148,GB,England,Sussex,,,,
149,GB,England,Worchestershire,Wychavon,Evesham,,
150,GB,England,Herefordshire,Hereford,,,
151,GB,Wales,Monmouthshire,Monmouth,,,Monmouth Castle
152,GB,England,Nottinghamshire,Harby,,,
153,GB,England,Cumberland,Burgh by Sands,,,
154,FR,Somme,,Abbeville,,,
155,SP,Castile and Leon,,Seville,,,
156,FR,Rhone,Allier,Saint-Pont,,,
157,SP,Castile and Leon,,Palencia,,,
158,FR,Loire,,Tours,,,
159,SP,Catalonia,,Barcelona,Sant Feliu de Buixalleu,,
160,SP,Castile and Leon,Soria,Medinaceli,,,
161,SP,Navarre,,Leyre,,,Monastery of San Salvador of Leyre
162,SP,Catalonia,Osona,Saint Quirze de Besora,,,
163,SP,Castile and Leon,,Saldana,,,
164,SP,Castile and Leon,Leon,Grajal de Campos,,,
165,SP,Toledo,,Toledo,,,
166,FR,Burgundy,Cote d'Or,Fleurey-Sur-Ouche,,,
167,FR,Essone,,Dourdan,,,
168,DE,Saxony,,Quedlinburg,,,
169,DE,Saxony,,Memleben,,,
170,DE,Saxony,,Wallhausen,,,
171,FR,Aisne,,Soissons,,,
172,IT,Lombardy,,Milan,,,
173,BE,Wallonia,Namur,Andenne,,,
174,BE,Wallonia,,Nivelles,,,Abbey of Nivelles
175,FR,Lorraine,Moselle,Metz,,,
176,FR,Aisne,,Braines,,,
177,FR,Lorraine,Moselle,Thionville,,,
178,FR,Aisne,,Quierzy,,,
179,BE,Wallonia,,Liege,Orp-le-Grand,,
180,FR,Meuse,,Junille,,,
181,FR,,,Melun,,,
182,FR,,,,,Aquitaine,
183,FR,Neustria,,Angers,,,
184,PT,Viseu,,Viseu,,,
185,SP,Castile and Leon,,Zamora,,,
186,FR,Somme,,Picquigny,,,
187,DE,Bavaria,,Bamburg,,,
188,DE,Rhineland-Palatinate,West Eifel,Prum,,,
189,FR,Oise,,Bethisy-Saint-Pierre,,,
190,FR,Savoie,,,,Hermillon,
191,FR,Pas-de-Calais,,Montruil,,,
192,NE,Gelderland,,Nederhemert,,,
193,US,Massachusetts,Suffolk,Boston,Brighton,,
194,US,Massachusetts,Norfolk,Norwood,,,
195,GB,England,,,,,
196,GB,England,London,London,,,
197,US,Rhode Island,,,,,
198,US,,,,,,
199,IE,,,,,,
200,,,,,,Scandinavia,
201,FR,Burgundy,,,,,
202,BE,Wallonia,,Liege,Metz,Neustria,
203,DE,,,,,Sicambria,
204,DE,,,,,,
205,,,,,,Alamannia,
206,US,Massachusetts,Suffolk,Boston,,,
207,FR,Occitanie,Herault,Gellone,,,
208,FR,Normandy,,,,,
